timestamp,ollama-deployment-b47f85cb4-5glnr,ollama-deployment-b47f85cb4-cnp9n,ollama-deployment-b47f85cb4-hhxbb,ollama-deployment-b47f85cb4-kbmpj,ollama-deployment-b47f85cb4-mk4j6,ollama-deployment-b47f85cb4-mwbt5,ollama-deployment-b47f85cb4-n8t54,vectorexp-deployment-668478cb95-rn5pj
2025-04-23T08:44:15.353264,1,1978,1985,1,1,1,1980,1
2025-04-23T08:44:27.932842,1,1978,1985,1,1,735,1980,1
2025-04-23T08:44:38.530910,1,1979,1984,1,77,1,1979,1
2025-04-23T08:44:49.064805,1,1979,1984,1,77,1,1979,1
2025-04-23T08:44:59.620893,676,1979,1985,1,1,928,1980,1
2025-04-23T08:45:10.148116,1,1979,1983,1,1,928,1980,1
2025-04-23T08:45:20.530962,1,1980,1983,1,1,928,1980,1
2025-04-23T08:45:30.899671,1,1980,1983,1,1,1,1979,1
2025-04-23T08:45:41.305974,61,1981,1983,1,1,651,1980,2
2025-04-23T08:45:51.721142,61,1981,1985,1087,1,1081,1980,1
2025-04-23T08:46:02.068938,61,1981,1985,1087,1,1081,1980,1
2025-04-23T08:46:12.445177,794,1982,1985,1,1,959,1980,2
2025-04-23T08:46:23.172237,794,1981,1985,1,1,1,1979,1
2025-04-23T08:46:33.978026,794,1981,1985,1,1,1,1979,1
2025-04-23T08:46:44.557041,1549,1981,1985,1,1,1,1979,2
2025-04-23T08:46:54.981236,1,1980,1985,290,1,71,1982,2
2025-04-23T08:47:05.358743,1,1980,1985,290,1,71,1982,2
2025-04-23T08:47:15.790164,1,1980,1986,629,1,1,1980,2
2025-04-23T08:47:26.246916,1,1980,1982,1,1,1,1980,2
2025-04-23T08:47:36.998833,1,1979,1983,1,1,1,1980,1
2025-04-23T08:47:47.476327,1,1979,1983,1,1,1,1980,1
2025-04-23T08:47:58.426537,1,1980,1984,1,381,1,1981,1
2025-04-23T08:48:09.027487,1,1982,1985,1,1952,1,1980,1
2025-04-23T08:48:19.619446,1,1982,1985,1,1952,1,1980,1
2025-04-23T08:48:30.225593,1,1981,1985,1,1971,1,1980,1
2025-04-23T08:48:40.830878,1,1980,1985,1,1967,1,1980,1
2025-04-23T08:48:51.466161,1,1980,1985,1,1967,1,1980,1
2025-04-23T08:49:02.039862,1,1980,1985,1,1967,1,1980,1
2025-04-23T08:49:12.696316,974,1981,1985,905,1538,73,1979,1
2025-04-23T08:49:23.126884,1,1981,1985,427,1,1,1979,1
2025-04-23T08:49:33.551634,1,1981,1985,427,1,1,1979,1
2025-04-23T08:49:44.162689,1,1981,1984,427,897,1,1981,2
2025-04-23T08:49:54.761166,1,1981,1984,1,897,1,1980,2
2025-04-23T08:50:05.178625,1,1981,1984,1,897,1,1980,2
2025-04-23T08:50:15.894271,23,1980,1984,1,907,1,1980,1
2025-04-23T08:50:26.620061,79,1978,1984,424,363,1,1980,1
2025-04-23T08:50:37.280960,454,1982,1986,716,1,92,1979,3
2025-04-23T08:50:47.890020,454,1982,1986,716,1,92,1979,3
2025-04-23T08:50:58.965226,235,1982,1985,36,1,1,1983,1
2025-04-23T08:51:09.574834,1,1981,1985,1,1,1,1981,1
2025-04-23T08:51:20.104562,1,1981,1985,1,1,1,1981,1
2025-04-23T08:51:30.478384,1,1981,1985,1,1,1,1981,1
2025-04-23T08:51:40.891485,1,1980,1985,1,1,1,1983,1
2025-04-23T08:51:51.459358,1,1979,1985,1,1,1,1984,1
2025-04-23T08:52:02.173590,1,1979,1985,1,1,1,1983,1
2025-04-23T08:52:12.758133,1,130,1985,655,1,1,1984,2
